Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,Car Age
Ford,Fiesta,1.0,Petrol,2002,127300,3074,20
Porsche,718 Cayman,4.0,Petrol,2016,57850,49704,6
Ford,Mondeo,1.6,Diesel,2014,39190,24072,8
Toyota,RAV4,1.8,Hybrid,1988,210814,1705,34
VW,Polo,1.0,Petrol,2006,127869,4101,16
Ford,Focus,1.4,Petrol,2018,33603,29204,4
Ford,Mondeo,1.8,Diesel,2010,86686,14350,12
Toyota,Prius,1.4,Hybrid,2015,30663,30297,7
VW,Polo,1.2,Petrol,2012,73470,9977,10
Ford,Focus,2.0,Diesel,1992,262514,1049,30
VW,Golf,2.0,Diesel,2014,83047,17173,8
BMW,Z4,2.0,Petrol,1990,293666,719,32
VW,Golf,1.2,Diesel,2007,92697,7792,15
Toyota,RAV4,2.2,Petrol,2007,79393,16026,15
Toyota,Yaris,1.4,Petrol,1998,97286,4046,24
VW,Golf,1.6,Diesel,1989,222390,933,33
Toyota,RAV4,2.4,Hybrid,2003,117425,11667,19
Toyota,Yaris,1.2,Petrol,1992,245990,720,30
Toyota,RAV4,2.0,Hybrid,2018,28381,52671,4
VW,Polo,1.2,Petrol,1998,155038,2118,24
VW,Golf,1.2,Hybrid,1987,121744,1890,35
Ford,Mondeo,1.6,Diesel,1996,77584,5667,26
Toyota,Prius,1.0,Hybrid,2003,115291,6512,19
Toyota,Prius,1.0,Hybrid,1990,238571,961,32
Porsche,911,2.6,Petrol,2009,66273,41963,13
Toyota,Prius,1.8,Hybrid,2017,31958,38961,5
Porsche,911,3.5,Petrol,2005,151556,19747,17
Toyota,Yaris,1.2,Petrol,2002,179097,2548,20
VW,Golf,2.0,Petrol,2020,18985,36387,2
Toyota,RAV4,1.8,Hybrid,2002,66990,13553,20
Ford,Focus,1.0,Hybrid,2010,85131,12472,12
Ford,Fiesta,1.0,Petrol,2001,144731,2503,21
VW,Polo,2.0,Diesel,2008,97001,8784,14
VW,Polo,1.6,Petrol,2016,52409,17257,6
Ford,Fiesta,1.4,Petrol,2010,112714,6936,12
VW,Passat,2.0,Diesel,1992,198540,1964,30
VW,Passat,1.8,Diesel,1989,213162,1340,33
BMW,Z4,2.2,Petrol,2005,133174,8511,17
VW,Polo,1.6,Petrol,2008,129588,5848,14
BMW,Z4,2.0,Petrol,1990,148586,2637,32
Ford,Focus,2.0,Petrol,1995,91173,5181,27
BMW,M5,4.0,Petrol,2017,22759,97758,5
VW,Polo,1.4,Petrol,1990,261526,522,32
VW,Passat,1.4,Diesel,1995,235594,1439,27
BMW,Z4,2.0,Petrol,1995,42759,7873,27
VW,Passat,1.8,Diesel,2005,103352,9633,17
VW,Passat,1.6,Petrol,2003,63372,10001,19
Toyota,Yaris,1.0,Petrol,2009,51787,9689,13
Ford,Fiesta,1.4,Petrol,2014,41495,14721,8
Toyota,Yaris,1.4,Petrol,2010,43111,12928,12
